program,total_alloc,Max memory,elapsed_adj
advent01,107029176,72440,0.040000000000000036
advent02,35370072,72440,0.06
advent03,4017640,72504,0.020000000000000018
advent04,60820368,72504,0.08000000000000002
advent05,27810256,72440,0.08000000000000002
advent06,11624856,72504,0.06
advent07,21605440,72444,0.040000000000000036
advent08,74894192,72508,0.09000000000000002
advent09,793279616,72508,0.31000000000000005
advent10,924456,72444,0.010000000000000009
advent11,35282262592,72504,16.4
advent12,2206400,72508,0.030000000000000027
advent13,542152,72436,0.010000000000000009
advent14,259113488,72508,0.26
advent15,6662932672,240372,1.7999999999999998
advent16,17242880,72444,0.030000000000000027
advent17,4808712520,72444,1.42
advent18,21509984,72444,0.040000000000000036
advent19,44456496,72504,0.11000000000000004
advent20,3860804096,72436,3.77
advent21,9561880,72508,0.040000000000000036
advent22,3242847728,72500,1.67
advent23,10263690000,95500,1.56
advent24,4352105528,72504,3.13
advent25,39231576,72504,0.06
