Program,Elapsed time (s),Max memory
advent01, 00.39, 72440
advent02, 00.41, 72440
advent03, 00.37, 72504
advent04, 00.43, 72504
advent05, 00.43, 72440
advent06, 00.41, 72504
advent07, 00.39, 72444
advent08, 00.44, 72508
advent09, 00.66, 72508
advent10, 00.36, 72444
advent11, 16.75, 72504
advent12, 00.38, 72508
advent13, 00.36, 72436
advent14, 00.61, 72508
advent15, 02.15, 240372
advent15loop, 01.88, 240444
advent16, 00.38, 72444
advent17, 01.77, 72444
advent18, 00.39, 72444
advent19, 00.46, 72504
advent20, 04.12, 72436
advent21, 00.39, 72508
advent22, 02.02, 72500
advent23, 01.91, 95500
advent24, 03.48, 72504
advent25, 00.41, 72504
